Feature,Value
AAC_1,0.0
AAC_2,0.0
AAC_3,0.0
AAC_4,0.0
AAC_5,0.0
AAC_6,0.14285714285714285
AAC_7,0.0
AAC_8,0.0
AAC_9,0.0
AAC_10,0.2857142857142857
AAC_11,0.0
AAC_12,0.0
AAC_13,0.2857142857142857
AAC_14,0.0
AAC_15,0.0
AAC_16,0.14285714285714285
AAC_17,0.0
AAC_18,0.0
AAC_19,0.0
AAC_20,0.14285714285714285
DPC_1,0.0
DPC_2,0.0
DPC_3,0.0
DPC_4,0.0
DPC_5,0.0
DPC_6,0.0
DPC_7,0.0
DPC_8,0.0
DPC_9,0.0
DPC_10,0.0
DPC_11,0.0
DPC_12,0.0
DPC_13,0.0
DPC_14,0.0
DPC_15,0.0
DPC_16,0.0
DPC_17,0.0
DPC_18,0.0
DPC_19,0.0
DPC_20,0.0
DPC_21,0.0
DPC_22,0.0
DPC_23,0.0
DPC_24,0.0
DPC_25,0.0
DPC_26,0.0
DPC_27,0.0
DPC_28,0.0
DPC_29,0.0
DPC_30,0.0
DPC_31,0.0
DPC_32,0.0
DPC_33,0.0
DPC_34,0.0
DPC_35,0.0
DPC_36,0.0
DPC_37,0.0
DPC_38,0.0
DPC_39,0.0
DPC_40,0.0
DPC_41,0.0
DPC_42,0.0
DPC_43,0.0
DPC_44,0.0
DPC_45,0.0
DPC_46,0.0
DPC_47,0.0
DPC_48,0.0
DPC_49,0.0
DPC_50,0.0
DPC_51,0.0
DPC_52,0.0
DPC_53,0.0
DPC_54,0.0
DPC_55,0.0
DPC_56,0.0
DPC_57,0.0
DPC_58,0.0
DPC_59,0.0
DPC_60,0.0
DPC_61,0.0
DPC_62,0.0
DPC_63,0.0
DPC_64,0.0
DPC_65,0.0
DPC_66,0.0
DPC_67,0.0
DPC_68,0.0
DPC_69,0.0
DPC_70,0.0
DPC_71,0.0
DPC_72,0.0
DPC_73,0.0
DPC_74,0.0
DPC_75,0.0
DPC_76,0.0
DPC_77,0.0
DPC_78,0.0
DPC_79,0.0
DPC_80,0.0
DPC_81,0.0
DPC_82,0.0
DPC_83,0.0
DPC_84,0.0
DPC_85,0.0
DPC_86,0.0
DPC_87,0.0
DPC_88,0.0
DPC_89,0.0
DPC_90,0.0
DPC_91,0.0
DPC_92,0.0
DPC_93,0.0
DPC_94,0.0
DPC_95,0.0
DPC_96,0.0
DPC_97,0.0
DPC_98,0.0
DPC_99,0.0
DPC_100,0.0
DPC_101,0.0
DPC_102,0.0
DPC_103,0.0
DPC_104,0.0
DPC_105,0.0
DPC_106,0.0
DPC_107,0.0
DPC_108,0.0
DPC_109,0.0
DPC_110,0.0
DPC_111,0.0
DPC_112,0.0
DPC_113,0.0
DPC_114,0.0
DPC_115,0.0
DPC_116,0.0
DPC_117,0.0
DPC_118,0.0
DPC_119,0.0
DPC_120,0.0
DPC_121,0.0
DPC_122,0.0
DPC_123,0.0
DPC_124,0.0
DPC_125,0.0
DPC_126,0.0
DPC_127,0.0
DPC_128,0.0
DPC_129,0.0
DPC_130,0.0
DPC_131,0.0
DPC_132,0.0
DPC_133,0.0
DPC_134,0.0
DPC_135,0.0
DPC_136,0.0
DPC_137,0.0
DPC_138,0.0
DPC_139,0.0
DPC_140,0.0
DPC_141,0.0
DPC_142,0.0
DPC_143,0.0
DPC_144,0.0
DPC_145,0.0
DPC_146,0.0
DPC_147,0.0
DPC_148,0.0
DPC_149,0.0
DPC_150,0.0
DPC_151,0.0
DPC_152,0.0
DPC_153,0.0
DPC_154,0.0
DPC_155,0.0
DPC_156,0.0
DPC_157,0.0
DPC_158,0.0
DPC_159,0.0
DPC_160,0.0
DPC_161,0.0
DPC_162,0.0
DPC_163,0.0
DPC_164,0.0
DPC_165,0.0
DPC_166,0.0
DPC_167,0.0
DPC_168,0.0
DPC_169,0.0
DPC_170,0.0
DPC_171,0.0
DPC_172,0.0
DPC_173,0.0
DPC_174,0.0
DPC_175,0.0
DPC_176,0.0
DPC_177,0.0
DPC_178,0.0
DPC_179,0.0
DPC_180,0.0
DPC_181,0.0
DPC_182,0.0
DPC_183,0.0
DPC_184,0.0
DPC_185,0.0
DPC_186,0.0
DPC_187,0.0
DPC_188,0.0
DPC_189,0.0
DPC_190,0.0
DPC_191,0.0
DPC_192,0.0
DPC_193,0.0
DPC_194,0.0
DPC_195,0.0
DPC_196,0.0
DPC_197,0.0
DPC_198,0.0
DPC_199,0.0
DPC_200,0.0
DPC_201,0.0
DPC_202,0.0
DPC_203,0.0
DPC_204,0.0
DPC_205,0.0
DPC_206,0.0
DPC_207,0.0
DPC_208,0.0
DPC_209,0.0
DPC_210,0.0
DPC_211,0.0
DPC_212,0.0
DPC_213,0.0
DPC_214,0.0
DPC_215,0.0
DPC_216,0.0
DPC_217,0.0
DPC_218,0.0
DPC_219,0.0
DPC_220,0.0
DPC_221,0.0
DPC_222,0.0
DPC_223,0.0
DPC_224,0.0
DPC_225,0.0
DPC_226,0.0
DPC_227,0.0
DPC_228,0.0
DPC_229,0.0
DPC_230,0.0
DPC_231,0.0
DPC_232,0.0
DPC_233,0.0
DPC_234,0.0
DPC_235,0.0
DPC_236,0.0
DPC_237,0.0
DPC_238,0.0
DPC_239,0.0
DPC_240,0.0
DPC_241,0.0
DPC_242,0.0
DPC_243,0.0
DPC_244,0.0
DPC_245,0.0
DPC_246,0.0
DPC_247,0.0
DPC_248,0.0
DPC_249,0.0
DPC_250,0.0
DPC_251,0.0
DPC_252,0.0
DPC_253,0.0
DPC_254,0.0
DPC_255,0.0
DPC_256,0.0
DPC_257,0.0
DPC_258,0.0
DPC_259,0.0
DPC_260,0.0
DPC_261,0.0
DPC_262,0.0
DPC_263,0.0
DPC_264,0.0
DPC_265,0.0
DPC_266,0.0
DPC_267,0.0
DPC_268,0.0
DPC_269,0.0
DPC_270,0.0
DPC_271,0.0
DPC_272,0.0
DPC_273,0.0
DPC_274,0.0
DPC_275,0.0
DPC_276,0.0
DPC_277,0.0
DPC_278,0.0
DPC_279,0.0
DPC_280,0.0
DPC_281,0.0
DPC_282,0.0
DPC_283,0.0
DPC_284,0.0
DPC_285,0.0
DPC_286,0.0
DPC_287,0.0
DPC_288,0.0
DPC_289,0.0
DPC_290,0.0
DPC_291,0.0
DPC_292,0.0
DPC_293,0.0
DPC_294,0.0
DPC_295,0.0
DPC_296,0.0
DPC_297,0.0
DPC_298,0.0
DPC_299,0.0
DPC_300,0.0
DPC_301,0.0
DPC_302,0.0
DPC_303,0.0
DPC_304,0.0
DPC_305,0.0
DPC_306,0.0
DPC_307,0.0
DPC_308,0.0
DPC_309,0.0
DPC_310,0.0
DPC_311,0.0
DPC_312,0.0
DPC_313,0.0
DPC_314,0.0
DPC_315,0.0
DPC_316,0.0
DPC_317,0.0
DPC_318,0.0
DPC_319,0.0
DPC_320,0.0
DPC_321,0.0
DPC_322,0.0
DPC_323,0.0
DPC_324,0.0
DPC_325,0.0
DPC_326,0.0
DPC_327,0.0
DPC_328,0.0
DPC_329,0.0
DPC_330,0.0
DPC_331,0.0
DPC_332,0.0
DPC_333,0.0
DPC_334,0.0
DPC_335,0.0
DPC_336,0.0
DPC_337,0.0
DPC_338,0.0
DPC_339,0.0
DPC_340,0.0
DPC_341,0.0
DPC_342,0.0
DPC_343,0.0
DPC_344,0.0
DPC_345,0.0
DPC_346,0.0
DPC_347,0.0
DPC_348,0.0
DPC_349,0.0
DPC_350,0.0
DPC_351,0.0
DPC_352,0.0
DPC_353,0.0
DPC_354,0.0
DPC_355,0.0
DPC_356,0.0
DPC_357,0.0
DPC_358,0.0
DPC_359,0.0
DPC_360,0.0
DPC_361,0.0
DPC_362,0.0
DPC_363,0.0
DPC_364,0.0
DPC_365,0.0
DPC_366,0.0
DPC_367,0.0
DPC_368,0.0
DPC_369,0.0
DPC_370,0.0
DPC_371,0.0
DPC_372,0.0
DPC_373,0.0
DPC_374,0.0
DPC_375,0.0
DPC_376,0.0
DPC_377,0.0
DPC_378,0.0
DPC_379,0.0
DPC_380,0.0
DPC_381,0.0
DPC_382,0.0
DPC_383,0.0
DPC_384,0.0
DPC_385,0.0
DPC_386,0.0
DPC_387,0.0
DPC_388,0.0
DPC_389,0.0
DPC_390,0.0
DPC_391,0.0
DPC_392,0.0
DPC_393,0.0
DPC_394,0.0
DPC_395,0.0
DPC_396,0.0
DPC_397,0.0
DPC_398,0.0
DPC_399,0.0
DPC_400,0.0
PCP_1,0.0
PCP_2,0.0
PCP_3,0.0
PCP_4,0.14285714285714285
PCP_5,0.7142857142857143
PCP_6,0.42857142857142855
PCP_7,0.2857142857142857
PCP_8,0.14285714285714285
PCP_9,0.0
PCP_10,0.0
PCP_11,0.0
PCP_12,0.5714285714285714
PCP_13,0.7142857142857143
PCP_14,0.2857142857142857
PCP_15,0.2857142857142857
PCP_16,0.0
PCP_17,0.2857142857142857
PCP_18,0.14285714285714285
PCP_19,0.42857142857142855
PCP_20,0.2857142857142857
Pharma_1,745.8750000000005
Pharma_2,-1.0977999999999881
Pharma_3,10.0
Pharma_4,9.0
Pharma_5,19.0
Pharma_6,255.59999999999997
Pharma_7,1.0
Pharma_8,294.0
Pharma_9,53.0
Pharma_10,3.0
Pharma_11,0.6388888888888888
Pharma_12,2.0
Pharma_13,17.0
Pharma_14,2.0
Pharma_15,0.0
Pharma_16,0.32812208969211515
